Time,沈祖凡,陈雯婷,麻瑀谌,冯炅,马晓涵,陶宛琪
2013-10-23 12:05:14,51,7,9,80,238,546
2013-10-23 12:07:06,51,7,9,90,238,548
2013-10-23 12:30:34,54,8,10,195,246,566
2013-10-23 12:39:24,56,8,11,233,251,569
2013-10-23 12:49:24,56,8,11,282,257,574
2013-10-23 12:59:24,56,8,11,326,259,579
2013-10-23 13:09:24,58,8,11,366,262,584
2013-10-23 13:19:24,59,8,11,405,265,585
2013-10-23 13:29:24,59,8,11,444,266,594
2013-10-23 13:39:24,59,8,11,481,268,612
2013-10-23 13:49:24,59,8,11,516,269,613
2013-10-23 13:59:24,59,8,11,552,270,616
2013-10-23 14:09:24,59,8,11,579,271,632
2013-10-23 14:19:24,59,8,11,608,272,692
2013-10-23 14:29:24,60,8,11,639,273,756
2013-10-23 14:39:24,60,14,11,679,274,816
2013-10-23 14:49:24,60,14,11,713,277,871
2013-10-23 14:59:24,60,14,11,749,284,925
2013-10-23 15:09:24,60,14,11,782,292,930
2013-10-23 15:19:24,60,14,11,812,306,934
2013-10-23 15:29:24,60,14,11,838,311,935
2013-10-23 15:39:24,61,14,11,867,318,961
2013-10-23 15:49:24,61,14,12,895,325,1016
2013-10-23 15:59:24,63,15,12,925,329,1079
2013-10-23 16:09:24,63,15,13,958,331,1142
2013-10-23 16:19:24,63,16,13,988,334,1192
2013-10-23 16:29:24,63,16,13,1022,337,1244
2013-10-23 16:39:24,63,16,13,1048,342,1315
2013-10-23 16:49:24,64,17,13,1083,345,1380
2013-10-23 16:59:24,64,17,13,1118,345,1433
2013-10-23 17:09:24,64,17,13,1152,347,1495
2013-10-23 17:19:24,64,17,13,1186,348,1564
2013-10-23 17:29:24,64,17,13,1231,350,1566
2013-10-23 17:39:24,67,17,13,1265,350,1566
2013-10-23 17:49:24,67,17,13,1301,352,1567
2013-10-23 17:59:24,67,17,13,1344,353,1569
2013-10-23 18:09:24,68,17,13,1361,354,1585
2013-10-23 18:19:24,70,17,13,1361,355,1592
2013-10-23 18:29:24,71,17,15,1361,358,1595
2013-10-23 18:39:24,73,17,15,1362,361,1595
2013-10-23 18:49:24,75,17,16,1362,364,1598
2013-10-23 18:59:24,75,18,17,1364,366,1602
2013-10-23 19:09:24,76,18,18,1365,369,1606
2013-10-23 19:19:24,77,18,19,1365,374,1607
2013-10-23 19:29:24,78,19,21,1367,379,1608
2013-10-23 19:39:24,80,21,22,1367,384,1608
2013-10-23 19:49:24,82,21,22,1368,388,1609
2013-10-23 19:59:24,82,23,22,1368,392,1611
2013-10-23 20:09:24,82,26,22,1369,395,1617
2013-10-23 20:19:24,82,28,22,1370,397,1618
2013-10-23 20:29:24,83,32,22,1370,401,1620
2013-10-23 20:39:24,85,34,23,1373,403,1620
2013-10-23 20:49:24,87,35,26,1373,404,1620
2013-10-23 20:59:24,87,39,27,1373,412,1621
